State,County,Domain Category,Value
ARKANSAS,IZARD,INVENTORY OF MILK COWS: (1 TO 9 HEAD),2
ARKANSAS,IZARD,INVENTORY OF MILK COWS: (50 TO 99 HEAD),1
ARKANSAS,MARION,INVENTORY OF MILK COWS: (1 TO 9 HEAD),3
ARKANSAS,SEARCY,INVENTORY OF MILK COWS: (1 TO 9 HEAD),1
ARKANSAS,SHARP,INVENTORY OF MILK COWS: (1 TO 9 HEAD),2
ARKANSAS,INDEPENDENCE,INVENTORY OF MILK COWS: (1 TO 9 HEAD),2
ARKANSAS,JACKSON,INVENTORY OF MILK COWS: (1 TO 9 HEAD),1
ARKANSAS,LAWRENCE,INVENTORY OF MILK COWS: (1 TO 9 HEAD),1
ARKANSAS,RANDOLPH,INVENTORY OF MILK COWS: (1 TO 9 HEAD),5
ARKANSAS,WHITE,INVENTORY OF MILK COWS: (1 TO 9 HEAD),1
ARKANSAS,WHITE,INVENTORY OF MILK COWS: (50 TO 99 HEAD),1
ARKANSAS,BENTON,INVENTORY OF MILK COWS: (1 TO 9 HEAD),1
ARKANSAS,BENTON,INVENTORY OF MILK COWS: (10 TO 19 HEAD),1
ARKANSAS,BENTON,INVENTORY OF MILK COWS: (100 TO 199 HEAD),1
ARKANSAS,BENTON,INVENTORY OF MILK COWS: (200 TO 499 HEAD),2
ARKANSAS,BENTON,INVENTORY OF MILK COWS: (50 TO 99 HEAD),1
ARKANSAS,BOONE,INVENTORY OF MILK COWS: (1 TO 9 HEAD),1
ARKANSAS,CARROLL,INVENTORY OF MILK COWS: (1 TO 9 HEAD),1
ARKANSAS,CARROLL,INVENTORY OF MILK COWS: (10 TO 19 HEAD),2
ARKANSAS,MADISON,INVENTORY OF MILK COWS: (1 TO 9 HEAD),1
ARKANSAS,MADISON,INVENTORY OF MILK COWS: (100 TO 199 HEAD),3
ARKANSAS,MADISON,INVENTORY OF MILK COWS: (20 TO 49 HEAD),1
ARKANSAS,MADISON,INVENTORY OF MILK COWS: (50 TO 99 HEAD),1
ARKANSAS,WASHINGTON,INVENTORY OF MILK COWS: (1 TO 9 HEAD),1
ARKANSAS,WASHINGTON,INVENTORY OF MILK COWS: (50 TO 99 HEAD),3
ARKANSAS,CALHOUN,INVENTORY OF MILK COWS: (200 TO 499 HEAD),2
ARKANSAS,CLARK,INVENTORY OF MILK COWS: (200 TO 499 HEAD),1
ARKANSAS,DESHA,INVENTORY OF MILK COWS: (1 TO 9 HEAD),5
ARKANSAS,DREW,INVENTORY OF MILK COWS: (1 TO 9 HEAD),2
ARKANSAS,LINCOLN,INVENTORY OF MILK COWS: (200 TO 499 HEAD),1
ARKANSAS,HEMPSTEAD,INVENTORY OF MILK COWS: (1 TO 9 HEAD),1
ARKANSAS,MONTGOMERY,INVENTORY OF MILK COWS: (100 TO 199 HEAD),1
ARKANSAS,SEVIER,INVENTORY OF MILK COWS: (1 TO 9 HEAD),1
ARKANSAS,SEVIER,INVENTORY OF MILK COWS: (10 TO 19 HEAD),2
ARKANSAS,SEVIER,INVENTORY OF MILK COWS: (100 TO 199 HEAD),1
ARKANSAS,CRAWFORD,INVENTORY OF MILK COWS: (1 TO 9 HEAD),1
ARKANSAS,FRANKLIN,INVENTORY OF MILK COWS: (50 TO 99 HEAD),1
ARKANSAS,LOGAN,INVENTORY OF MILK COWS: (1 TO 9 HEAD),1
ARKANSAS,LOGAN,INVENTORY OF MILK COWS: (10 TO 19 HEAD),1
ARKANSAS,LOGAN,INVENTORY OF MILK COWS: (50 TO 99 HEAD),1
ARKANSAS,POLK,INVENTORY OF MILK COWS: (1 TO 9 HEAD),1
ARKANSAS,YELL,INVENTORY OF MILK COWS: (1 TO 9 HEAD),1
CALIFORNIA,CONTRA COSTA,INVENTORY OF MILK COWS: (1 TO 9 HEAD),1
CALIFORNIA,LAKE,INVENTORY OF MILK COWS: (1 TO 9 HEAD),4
CALIFORNIA,MARIN,INVENTORY OF MILK COWS: (1 TO 9 HEAD),6
CALIFORNIA,MARIN,INVENTORY OF MILK COWS: (20 TO 49 HEAD),1
CALIFORNIA,MARIN,INVENTORY OF MILK COWS: (200 TO 499 HEAD),12
CALIFORNIA,MARIN,INVENTORY OF MILK COWS: (500 OR MORE HEAD),1
CALIFORNIA,MONTEREY,INVENTORY OF MILK COWS: (1 TO 9 HEAD),8
CALIFORNIA,MONTEREY,INVENTORY OF MILK COWS: (500 OR MORE HEAD),1
CALIFORNIA,NAPA,INVENTORY OF MILK COWS: (1 TO 9 HEAD),2
CALIFORNIA,NAPA,INVENTORY OF MILK COWS: (20 TO 49 HEAD),1
CALIFORNIA,SAN LUIS OBISPO,INVENTORY OF MILK COWS: (1 TO 9 HEAD),9
CALIFORNIA,SAN LUIS OBISPO,INVENTORY OF MILK COWS: (200 TO 499 HEAD),1
CALIFORNIA,SANTA CLARA,INVENTORY OF MILK COWS: (1 TO 9 HEAD),10
CALIFORNIA,SONOMA,INVENTORY OF MILK COWS: (1 TO 9 HEAD),7
CALIFORNIA,SONOMA,INVENTORY OF MILK COWS: (10 TO 19 HEAD),1
CALIFORNIA,SONOMA,INVENTORY OF MILK COWS: (100 TO 199 HEAD),4
CALIFORNIA,SONOMA,INVENTORY OF MILK COWS: (200 TO 499 HEAD),17
CALIFORNIA,SONOMA,INVENTORY OF MILK COWS: (50 TO 99 HEAD),4
CALIFORNIA,SONOMA,INVENTORY OF MILK COWS: (500 OR MORE HEAD),17
CALIFORNIA,LASSEN,INVENTORY OF MILK COWS: (1 TO 9 HEAD),9
CALIFORNIA,LASSEN,INVENTORY OF MILK COWS: (10 TO 19 HEAD),1
CALIFORNIA,MODOC,INVENTORY OF MILK COWS: (1 TO 9 HEAD),3
CALIFORNIA,DEL NORTE,INVENTORY OF MILK COWS: (100 TO 199 HEAD),1
CALIFORNIA,DEL NORTE,INVENTORY OF MILK COWS: (200 TO 499 HEAD),1
CALIFORNIA,DEL NORTE,INVENTORY OF MILK COWS: (500 OR MORE HEAD),1
CALIFORNIA,HUMBOLDT,INVENTORY OF MILK COWS: (1 TO 9 HEAD),2
CALIFORNIA,HUMBOLDT,INVENTORY OF MILK COWS: (10 TO 19 HEAD),2
CALIFORNIA,HUMBOLDT,INVENTORY OF MILK COWS: (100 TO 199 HEAD),5
CALIFORNIA,HUMBOLDT,INVENTORY OF MILK COWS: (200 TO 499 HEAD),11
CALIFORNIA,HUMBOLDT,INVENTORY OF MILK COWS: (50 TO 99 HEAD),3
CALIFORNIA,HUMBOLDT,INVENTORY OF MILK COWS: (500 OR MORE HEAD),2
CALIFORNIA,MENDOCINO,INVENTORY OF MILK COWS: (1 TO 9 HEAD),9
CALIFORNIA,BUTTE,INVENTORY OF MILK COWS: (1 TO 9 HEAD),10
CALIFORNIA,BUTTE,INVENTORY OF MILK COWS: (10 TO 19 HEAD),1
CALIFORNIA,BUTTE,INVENTORY OF MILK COWS: (50 TO 99 HEAD),2
CALIFORNIA,COLUSA,INVENTORY OF MILK COWS: (200 TO 499 HEAD),1
CALIFORNIA,GLENN,INVENTORY OF MILK COWS: (100 TO 199 HEAD),1
CALIFORNIA,GLENN,INVENTORY OF MILK COWS: (200 TO 499 HEAD),4
CALIFORNIA,GLENN,INVENTORY OF MILK COWS: (500 OR MORE HEAD),9
CALIFORNIA,SACRAMENTO,INVENTORY OF MILK COWS: (10 TO 19 HEAD),1
CALIFORNIA,SACRAMENTO,INVENTORY OF MILK COWS: (500 OR MORE HEAD),9
CALIFORNIA,SOLANO,INVENTORY OF MILK COWS: (10 TO 19 HEAD),1
CALIFORNIA,SOLANO,INVENTORY OF MILK COWS: (500 OR MORE HEAD),1
CALIFORNIA,SUTTER,INVENTORY OF MILK COWS: (1 TO 9 HEAD),3
CALIFORNIA,TEHAMA,INVENTORY OF MILK COWS: (1 TO 9 HEAD),10
CALIFORNIA,TEHAMA,INVENTORY OF MILK COWS: (100 TO 199 HEAD),1
CALIFORNIA,YOLO,INVENTORY OF MILK COWS: (1 TO 9 HEAD),1
CALIFORNIA,YOLO,INVENTORY OF MILK COWS: (100 TO 199 HEAD),1
CALIFORNIA,YUBA,INVENTORY OF MILK COWS: (1 TO 9 HEAD),2
CALIFORNIA,YUBA,INVENTORY OF MILK COWS: (500 OR MORE HEAD),2
CALIFORNIA,FRESNO,INVENTORY OF MILK COWS: (1 TO 9 HEAD),6
CALIFORNIA,FRESNO,INVENTORY OF MILK COWS: (200 TO 499 HEAD),3
CALIFORNIA,FRESNO,INVENTORY OF MILK COWS: (500 OR MORE HEAD),38
CALIFORNIA,KERN,INVENTORY OF MILK COWS: (1 TO 9 HEAD),5
CALIFORNIA,KERN,INVENTORY OF MILK COWS: (10 TO 19 HEAD),3
CALIFORNIA,KERN,INVENTORY OF MILK COWS: (20 TO 49 HEAD),1
CALIFORNIA,KERN,INVENTORY OF MILK COWS: (500 OR MORE HEAD),36
CALIFORNIA,KINGS,INVENTORY OF MILK COWS: (1 TO 9 HEAD),1
CALIFORNIA,KINGS,INVENTORY OF MILK COWS: (10 TO 19 HEAD),1
CALIFORNIA,KINGS,INVENTORY OF MILK COWS: (100 TO 199 HEAD),1
CALIFORNIA,KINGS,INVENTORY OF MILK COWS: (200 TO 499 HEAD),1
CALIFORNIA,KINGS,INVENTORY OF MILK COWS: (500 OR MORE HEAD),68
CALIFORNIA,MADERA,INVENTORY OF MILK COWS: (1 TO 9 HEAD),7
CALIFORNIA,MADERA,INVENTORY OF MILK COWS: (500 OR MORE HEAD),23
CALIFORNIA,MERCED,INVENTORY OF MILK COWS: (1 TO 9 HEAD),8
CALIFORNIA,MERCED,INVENTORY OF MILK COWS: (10 TO 19 HEAD),2
CALIFORNIA,MERCED,INVENTORY OF MILK COWS: (100 TO 199 HEAD),1
CALIFORNIA,MERCED,INVENTORY OF MILK COWS: (20 TO 49 HEAD),1
CALIFORNIA,MERCED,INVENTORY OF MILK COWS: (200 TO 499 HEAD),6
CALIFORNIA,MERCED,INVENTORY OF MILK COWS: (500 OR MORE HEAD),142
CALIFORNIA,SAN JOAQUIN,INVENTORY OF MILK COWS: (1 TO 9 HEAD),11
CALIFORNIA,SAN JOAQUIN,INVENTORY OF MILK COWS: (100 TO 199 HEAD),2
CALIFORNIA,SAN JOAQUIN,INVENTORY OF MILK COWS: (200 TO 499 HEAD),2
CALIFORNIA,SAN JOAQUIN,INVENTORY OF MILK COWS: (500 OR MORE HEAD),63
CALIFORNIA,STANISLAUS,INVENTORY OF MILK COWS: (1 TO 9 HEAD),11
CALIFORNIA,STANISLAUS,INVENTORY OF MILK COWS: (20 TO 49 HEAD),2
CALIFORNIA,STANISLAUS,INVENTORY OF MILK COWS: (200 TO 499 HEAD),11
CALIFORNIA,STANISLAUS,INVENTORY OF MILK COWS: (500 OR MORE HEAD),101
CALIFORNIA,TULARE,INVENTORY OF MILK COWS: (1 TO 9 HEAD),3
CALIFORNIA,TULARE,INVENTORY OF MILK COWS: (10 TO 19 HEAD),2
CALIFORNIA,TULARE,INVENTORY OF MILK COWS: (200 TO 499 HEAD),5
CALIFORNIA,TULARE,INVENTORY OF MILK COWS: (500 OR MORE HEAD),177
CALIFORNIA,AMADOR,INVENTORY OF MILK COWS: (1 TO 9 HEAD),6
CALIFORNIA,CALAVERAS,INVENTORY OF MILK COWS: (1 TO 9 HEAD),5
CALIFORNIA,EL DORADO,INVENTORY OF MILK COWS: (1 TO 9 HEAD),3
CALIFORNIA,EL DORADO,INVENTORY OF MILK COWS: (10 TO 19 HEAD),1
CALIFORNIA,EL DORADO,INVENTORY OF MILK COWS: (20 TO 49 HEAD),1
CALIFORNIA,NEVADA,INVENTORY OF MILK COWS: (1 TO 9 HEAD),3
CALIFORNIA,PLACER,INVENTORY OF MILK COWS: (1 TO 9 HEAD),17
CALIFORNIA,PLACER,INVENTORY OF MILK COWS: (10 TO 19 HEAD),2
CALIFORNIA,PLACER,INVENTORY OF MILK COWS: (20 TO 49 HEAD),1
CALIFORNIA,SIERRA,INVENTORY OF MILK COWS: (1 TO 9 HEAD),1
CALIFORNIA,TUOLUMNE,INVENTORY OF MILK COWS: (1 TO 9 HEAD),2
CALIFORNIA,SHASTA,INVENTORY OF MILK COWS: (1 TO 9 HEAD),16
CALIFORNIA,SISKIYOU,INVENTORY OF MILK COWS: (1 TO 9 HEAD),8
CALIFORNIA,SISKIYOU,INVENTORY OF MILK COWS: (10 TO 19 HEAD),1
CALIFORNIA,SISKIYOU,INVENTORY OF MILK COWS: (100 TO 199 HEAD),2
CALIFORNIA,SISKIYOU,INVENTORY OF MILK COWS: (200 TO 499 HEAD),1
CALIFORNIA,TRINITY,INVENTORY OF MILK COWS: (1 TO 9 HEAD),4
CALIFORNIA,IMPERIAL,INVENTORY OF MILK COWS: (500 OR MORE HEAD),4
CALIFORNIA,LOS ANGELES,INVENTORY OF MILK COWS: (1 TO 9 HEAD),1
CALIFORNIA,LOS ANGELES,INVENTORY OF MILK COWS: (500 OR MORE HEAD),1
CALIFORNIA,RIVERSIDE,INVENTORY OF MILK COWS: (1 TO 9 HEAD),20
CALIFORNIA,RIVERSIDE,INVENTORY OF MILK COWS: (20 TO 49 HEAD),1
CALIFORNIA,RIVERSIDE,INVENTORY OF MILK COWS: (50 TO 99 HEAD),1
CALIFORNIA,RIVERSIDE,INVENTORY OF MILK COWS: (500 OR MORE HEAD),8
CALIFORNIA,SAN BERNARDINO,INVENTORY OF MILK COWS: (1 TO 9 HEAD),1
CALIFORNIA,SAN BERNARDINO,INVENTORY OF MILK COWS: (10 TO 19 HEAD),1
CALIFORNIA,SAN BERNARDINO,INVENTORY OF MILK COWS: (100 TO 199 HEAD),1
CALIFORNIA,SAN BERNARDINO,INVENTORY OF MILK COWS: (200 TO 499 HEAD),2
CALIFORNIA,SAN BERNARDINO,INVENTORY OF MILK COWS: (500 OR MORE HEAD),15
CALIFORNIA,SAN DIEGO,INVENTORY OF MILK COWS: (1 TO 9 HEAD),8
CALIFORNIA,SAN DIEGO,INVENTORY OF MILK COWS: (500 OR MORE HEAD),3
CALIFORNIA,SANTA BARBARA,INVENTORY OF MILK COWS: (1 TO 9 HEAD),8
CALIFORNIA,SANTA BARBARA,INVENTORY OF MILK COWS: (200 TO 499 HEAD),1
CALIFORNIA,SANTA BARBARA,INVENTORY OF MILK COWS: (500 OR MORE HEAD),1
CALIFORNIA,VENTURA,INVENTORY OF MILK COWS: (1 TO 9 HEAD),5
COLORADO,ADAMS,INVENTORY OF MILK COWS: (1 TO 9 HEAD),7
COLORADO,ADAMS,INVENTORY OF MILK COWS: (500 OR MORE HEAD),2
COLORADO,ARAPAHOE,INVENTORY OF MILK COWS: (1 TO 9 HEAD),6
COLORADO,CHEYENNE,INVENTORY OF MILK COWS: (10 TO 19 HEAD),1
COLORADO,DENVER,INVENTORY OF MILK COWS: (1 TO 9 HEAD),1
COLORADO,DOUGLAS,INVENTORY OF MILK COWS: (1 TO 9 HEAD),8
COLORADO,EL PASO,INVENTORY OF MILK COWS: (1 TO 9 HEAD),32
COLORADO,ELBERT,INVENTORY OF MILK COWS: (1 TO 9 HEAD),19
COLORADO,ELBERT,INVENTORY OF MILK COWS: (100 TO 199 HEAD),1
COLORADO,KIOWA,INVENTORY OF MILK COWS: (1 TO 9 HEAD),2
COLORADO,KIT CARSON,INVENTORY OF MILK COWS: (500 OR MORE HEAD),1
COLORADO,LINCOLN,INVENTORY OF MILK COWS: (1 TO 9 HEAD),3
COLORADO,LINCOLN,INVENTORY OF MILK COWS: (100 TO 199 HEAD),1
COLORADO,PHILLIPS,INVENTORY OF MILK COWS: (500 OR MORE HEAD),1
COLORADO,WASHINGTON,INVENTORY OF MILK COWS: (1 TO 9 HEAD),3
COLORADO,WASHINGTON,INVENTORY OF MILK COWS: (500 OR MORE HEAD),1
COLORADO,YUMA,INVENTORY OF MILK COWS: (1 TO 9 HEAD),3
COLORADO,YUMA,INVENTORY OF MILK COWS: (500 OR MORE HEAD),1
COLORADO,BOULDER,INVENTORY OF MILK COWS: (1 TO 9 HEAD),3
COLORADO,BOULDER,INVENTORY OF MILK COWS: (10 TO 19 HEAD),2
COLORADO,JEFFERSON,INVENTORY OF MILK COWS: (1 TO 9 HEAD),2
COLORADO,LARIMER,INVENTORY OF MILK COWS: (1 TO 9 HEAD),6
COLORADO,LARIMER,INVENTORY OF MILK COWS: (20 TO 49 HEAD),1
COLORADO,LARIMER,INVENTORY OF MILK COWS: (500 OR MORE HEAD),5
COLORADO,LOGAN,INVENTORY OF MILK COWS: (1 TO 9 HEAD),8
COLORADO,MORGAN,INVENTORY OF MILK COWS: (1 TO 9 HEAD),6
COLORADO,MORGAN,INVENTORY OF MILK COWS: (500 OR MORE HEAD),8
COLORADO,SEDGWICK,INVENTORY OF MILK COWS: (1 TO 9 HEAD),1
COLORADO,WELD,INVENTORY OF MILK COWS: (1 TO 9 HEAD),24
COLORADO,WELD,INVENTORY OF MILK COWS: (10 TO 19 HEAD),3
COLORADO,WELD,INVENTORY OF MILK COWS: (100 TO 199 HEAD),1
COLORADO,WELD,INVENTORY OF MILK COWS: (20 TO 49 HEAD),2
COLORADO,WELD,INVENTORY OF MILK COWS: (200 TO 499 HEAD),12
COLORADO,WELD,INVENTORY OF MILK COWS: (50 TO 99 HEAD),3
COLORADO,WELD,INVENTORY OF MILK COWS: (500 OR MORE HEAD),42
COLORADO,CHAFFEE,INVENTORY OF MILK COWS: (1 TO 9 HEAD),2
COLORADO,GRAND,INVENTORY OF MILK COWS: (1 TO 9 HEAD),2
COLORADO,GUNNISON,INVENTORY OF MILK COWS: (1 TO 9 HEAD),1
COLORADO,JACKSON,INVENTORY OF MILK COWS: (1 TO 9 HEAD),3
COLORADO,MOFFAT,INVENTORY OF MILK COWS: (1 TO 9 HEAD),5
COLORADO,MOFFAT,INVENTORY OF MILK COWS: (50 TO 99 HEAD),1
COLORADO,RIO BLANCO,INVENTORY OF MILK COWS: (1 TO 9 HEAD),5
COLORADO,ROUTT,INVENTORY OF MILK COWS: (1 TO 9 HEAD),3
COLORADO,TELLER,INVENTORY OF MILK COWS: (1 TO 9 HEAD),2
COLORADO,CONEJOS,INVENTORY OF MILK COWS: (1 TO 9 HEAD),16
COLORADO,CONEJOS,INVENTORY OF MILK COWS: (100 TO 199 HEAD),1
COLORADO,COSTILLA,INVENTORY OF MILK COWS: (10 TO 19 HEAD),1
COLORADO,RIO GRANDE,INVENTORY OF MILK COWS: (1 TO 9 HEAD),3
COLORADO,SAGUACHE,INVENTORY OF MILK COWS: (1 TO 9 HEAD),1
COLORADO,SAGUACHE,INVENTORY OF MILK COWS: (200 TO 499 HEAD),3
COLORADO,BENT,INVENTORY OF MILK COWS: (1 TO 9 HEAD),2
COLORADO,CUSTER,INVENTORY OF MILK COWS: (1 TO 9 HEAD),3
COLORADO,FREMONT,INVENTORY OF MILK COWS: (1 TO 9 HEAD),7
COLORADO,HUERFANO,INVENTORY OF MILK COWS: (1 TO 9 HEAD),2
COLORADO,HUERFANO,INVENTORY OF MILK COWS: (500 OR MORE HEAD),1
COLORADO,LAS ANIMAS,INVENTORY OF MILK COWS: (1 TO 9 HEAD),12
COLORADO,OTERO,INVENTORY OF MILK COWS: (1 TO 9 HEAD),4
COLORADO,OTERO,INVENTORY OF MILK COWS: (20 TO 49 HEAD),1
COLORADO,PROWERS,INVENTORY OF MILK COWS: (1 TO 9 HEAD),2
COLORADO,PROWERS,INVENTORY OF MILK COWS: (20 TO 49 HEAD),1
COLORADO,PUEBLO,INVENTORY OF MILK COWS: (1 TO 9 HEAD),5
COLORADO,PUEBLO,INVENTORY OF MILK COWS: (10 TO 19 HEAD),1
COLORADO,PUEBLO,INVENTORY OF MILK COWS: (20 TO 49 HEAD),2
COLORADO,PUEBLO,INVENTORY OF MILK COWS: (200 TO 499 HEAD),1
COLORADO,ARCHULETA,INVENTORY OF MILK COWS: (1 TO 9 HEAD),5
COLORADO,ARCHULETA,INVENTORY OF MILK COWS: (10 TO 19 HEAD),1
COLORADO,DELTA,INVENTORY OF MILK COWS: (1 TO 9 HEAD),24
COLORADO,DELTA,INVENTORY OF MILK COWS: (10 TO 19 HEAD),2
COLORADO,DELTA,INVENTORY OF MILK COWS: (20 TO 49 HEAD),6
COLORADO,DELTA,INVENTORY OF MILK COWS: (200 TO 499 HEAD),1
COLORADO,DELTA,INVENTORY OF MILK COWS: (500 OR MORE HEAD),1
COLORADO,DOLORES,INVENTORY OF MILK COWS: (10 TO 19 HEAD),1
COLORADO,GARFIELD,INVENTORY OF MILK COWS: (1 TO 9 HEAD),6
COLORADO,LA PLATA,INVENTORY OF MILK COWS: (1 TO 9 HEAD),17
COLORADO,LA PLATA,INVENTORY OF MILK COWS: (10 TO 19 HEAD),2
COLORADO,MESA,INVENTORY OF MILK COWS: (1 TO 9 HEAD),16
